,Address,Bathrooms,Bedrooms,Halfbath,Locality,Lot Size,Price,SqFt
0,0 Gateway,,,,"Rock Springs, WY 82901",,"$725,000",
1,1003 Winchester Blvd.,4,4,,"Rock Springs, WY 82901",0.21 Acres,"$452,900",
2,600 Talladega,3,5,,"Rock Springs, WY 82901",,"$396,900","3,154"
3,3239 Spearhead Way,3,4,1,"Rock Springs, WY 82901",Under 1/2 Acre ,"$389,900","3,076"
4,522 Emerald Street,3,3,,"Rock Springs, WY 82901",Under 1/2 Acre ,"$254,000","1,172"
5,1302 Veteran's Drive,2,4,,"Rock Springs, WY 82901",0.27 Acres,"$252,900","1,932"
6,1021 Cypress Cir,3,4,,"Rock Springs, WY 82901",Under 1/2 Acre ,"$210,000","1,676"
7,913 Madison Dr,2,3,,"Rock Springs, WY 82901",Under 1/2 Acre ,"$209,000","1,344"
8,1344 Teton Street,2,3,,"Rock Springs, WY 82901",Under 1/2 Acre ,"$199,900","1,920"
9,4 Minnies Lane,2,3,,"Rock Springs, WY 82901",2.02 Acres,"$196,900","1,664"
